subcity,bedrooms,bathrooms,area_sqm,has_water_tank,has_generator,is_furnished,description_text,rent_price_etb
Yeka,1,1,53.1,1,1,0,"Apartment with 1 bedrooms in Yeka, now available. Floor space of 53 square metres. Features a private water tank. Comes with a backup generator. Well maintained and secure.",22000.0
Arada,4,3,121.3,0,1,1,Rent a 4-bedroom home located in Arada. Floor space of 121 square metres. Comes with a backup generator. Furnished and ready to move in. Close to schools and markets.,59000.0
Gulele,5,3,168.5,1,0,0,"Apartment with 5 bedrooms in Gulele, now available. 168 square metres, well laid out. Features a private water tank. Close to schools and markets.",54500.0
Lidetta,4,2,143.5,0,0,1,4-bedroom apartment in Lidetta available for rent. Floor space of 144 square metres. Furnished and ready to move in. Well maintained and secure.,47500.0
Kirkos,2,2,86.3,1,0,0,"Apartment with 2 bedrooms in Kirkos, now available. About 86 square metres of living space. Features a private water tank. Close to schools and markets.",36000.0
Arada,4,2,124.7,1,0,0,4-bedroom apartment in Arada available for rent. Floor space of 125 square metres. Features a private water tank. Well maintained and secure.,50500.0
Gulele,1,1,77.5,0,0,0,Rent a 1-bedroom home located in Gulele. About 78 square metres of living space. Well maintained apartment. Well maintained and secure.,21000.0
Gulele,5,2,140.1,1,1,0,"Rent a 5-bedroom home located in Gulele. 140 square metres, well laid out. Features a private water tank. Comes with a backup generator. Close to schools and markets.",49500.0
Kolfe,5,3,156.7,1,0,0,"Rent a 5-bedroom home located in Kolfe. 157 square metres, well laid out. Features a private water tank. Quiet neighbourhood with good access to transport.",50000.0
Nifas Silk,4,2,157.3,1,0,0,4-bedroom unit in Nifas Silk for long-term rental. About 157 square metres of living space. Features a private water tank. Close to schools and markets.,51000.0
Bole,5,3,154.5,0,0,1,5-bedroom unit in Bole for long-term rental. About 154 square metres of living space. Furnished and ready to move in. Close to schools and markets.,77000.0
Akaky Kaliti,3,2,98.7,0,1,0,"Apartment with 3 bedrooms in Akaky Kaliti, now available. 99 square metres, well laid out. Comes with a backup generator. Ideal for families or professionals.",30500.0
Lidetta,3,2,112.9,0,0,1,"3-bedroom apartment in Lidetta available for rent. 113 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",37500.0
Kolfe,2,1,80.4,0,0,0,Rent a 2-bedroom home located in Kolfe. About 80 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.,23000.0
Bole,5,3,135.3,0,1,1,5-bedroom apartment in Bole available for rent. About 135 square metres of living space. Comes with a backup generator. Furnished and ready to move in. Close to schools and markets.,72500.0
Yeka,4,2,138.4,1,1,0,"4-bedroom unit in Yeka for long-term rental. 138 square metres, well laid out. Features a private water tank. Comes with a backup generator. Quiet neighbourhood with good access to transport.",52500.0
Gulele,1,1,77.4,1,1,0,1-bedroom unit in Gulele for long-term rental. Floor space of 77 square metres. Features a private water tank. Comes with a backup generator. Close to schools and markets.,25000.0
Bole,5,3,148.3,0,1,1,5-bedroom unit in Bole for long-term rental. About 148 square metres of living space. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.,78000.0
Addis Ketema,1,1,59.5,0,0,0,"Apartment with 1 bedrooms in Addis Ketema, now available. Floor space of 60 square metres. Well maintained apartment. Ideal for families or professionals.",15500.0
Kirkos,3,1,96.5,0,0,1,3-bedroom apartment in Kirkos available for rent. About 96 square metres of living space. Furnished and ready to move in. Close to schools and markets.,44500.0
Gulele,1,1,62.2,0,0,1,"Apartment with 1 bedrooms in Gulele, now available. Floor space of 62 square metres. Furnished and ready to move in. Well maintained and secure.",20000.0
Lidetta,4,2,123.3,1,0,0,Rent a 4-bedroom home located in Lidetta. About 123 square metres of living space. Features a private water tank. Close to schools and markets.,39000.0
Kirkos,3,2,95.9,0,0,1,3-bedroom unit in Kirkos for long-term rental. About 96 square metres of living space. Furnished and ready to move in. Close to schools and markets.,45500.0
Yeka,3,2,130.7,0,0,1,"Rent a 3-bedroom home located in Yeka. 131 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",50000.0
Nifas Silk,4,2,135.6,0,0,0,Rent a 4-bedroom home located in Nifas Silk. About 136 square metres of living space. Well maintained apartment. Close to schools and markets.,43500.0
Nifas Silk,4,2,136.9,0,0,0,Rent a 4-bedroom home located in Nifas Silk. About 137 square metres of living space. Well maintained apartment. Well maintained and secure.,44000.0
Kirkos,2,1,96.6,0,0,0,2-bedroom unit in Kirkos for long-term rental. Floor space of 97 square metres. Well maintained apartment. Well maintained and secure.,36500.0
Nifas Silk,5,3,161.3,0,0,0,"Apartment with 5 bedrooms in Nifas Silk, now available. Floor space of 161 square metres. Well maintained apartment. Close to schools and markets.",53500.0
Akaky Kaliti,3,2,103.0,1,1,0,"3-bedroom apartment in Akaky Kaliti available for rent. 103 square metres, well laid out. Features a private water tank. Comes with a backup generator. Ideal for families or professionals.",33000.0
Arada,1,1,67.3,0,1,0,"1-bedroom apartment in Arada available for rent. 67 square metres, well laid out. Comes with a backup generator. Close to schools and markets.",26000.0
Yeka,1,1,60.8,1,0,1,1-bedroom unit in Yeka for long-term rental. About 61 square metres of living space. Features a private water tank. Furnished and ready to move in. Close to schools and markets.,24500.0
Kirkos,2,2,91.3,0,0,0,"Apartment with 2 bedrooms in Kirkos, now available. 91 square metres, well laid out. Well maintained apartment. Ideal for families or professionals.",36000.0
Kirkos,4,2,134.1,1,0,1,"4-bedroom unit in Kirkos for long-term rental. 134 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.",64500.0
Bole,3,2,103.4,0,0,0,"3-bedroom apartment in Bole available for rent. 103 square metres, well laid out. Well maintained apartment. Well maintained and secure.",44000.0
Bole,2,2,70.0,1,0,0,2-bedroom apartment in Bole available for rent. About 70 square metres of living space. Features a private water tank. Close to schools and markets.,32500.0
Gulele,3,2,109.8,0,0,0,3-bedroom apartment in Gulele available for rent. About 110 square metres of living space. Well maintained apartment. Well maintained and secure.,33500.0
Kirkos,5,3,149.5,0,0,0,5-bedroom unit in Kirkos for long-term rental. Floor space of 150 square metres. Well maintained apartment. Well maintained and secure.,62500.0
Addis Ketema,3,2,85.3,0,0,0,"Apartment with 3 bedrooms in Addis Ketema, now available. Floor space of 85 square metres. Well maintained apartment. Well maintained and secure.",26500.0
Yeka,1,1,70.1,1,1,1,1-bedroom apartment in Yeka available for rent. Floor space of 70 square metres. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,30500.0
Bole,1,1,75.6,1,1,0,"Apartment with 1 bedrooms in Bole, now available. 76 square metres, well laid out. Features a private water tank. Comes with a backup generator. Close to schools and markets.",33500.0
Kolfe,3,2,138.3,0,1,0,"3-bedroom apartment in Kolfe available for rent. 138 square metres, well laid out. Comes with a backup generator. Ideal for families or professionals.",41500.0
Lidetta,3,2,103.3,0,1,1,3-bedroom apartment in Lidetta available for rent. Floor space of 103 square metres. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.,38500.0
Yeka,5,3,145.5,1,0,1,"Rent a 5-bedroom home located in Yeka. 146 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Well maintained and secure.",63000.0
Yeka,3,1,94.7,0,0,0,3-bedroom apartment in Yeka available for rent. Floor space of 95 square metres. Well maintained apartment. Ideal for families or professionals.,33000.0
Yeka,4,3,132.5,0,1,0,4-bedroom apartment in Yeka available for rent. About 132 square metres of living space. Comes with a backup generator. Close to schools and markets.,50000.0
Arada,3,2,110.4,0,0,0,"Apartment with 3 bedrooms in Arada, now available. About 110 square metres of living space. Well maintained apartment. Ideal for families or professionals.",42000.0
Arada,2,1,76.3,0,0,0,2-bedroom unit in Arada for long-term rental. Floor space of 76 square metres. Well maintained apartment. Close to schools and markets.,28500.0
Yeka,4,3,127.9,0,0,1,"Apartment with 4 bedrooms in Yeka, now available. 128 square metres, well laid out. Furnished and ready to move in. Well maintained and secure.",53000.0
Bole,4,3,106.3,0,1,0,Rent a 4-bedroom home located in Bole. About 106 square metres of living space. Comes with a backup generator. Quiet neighbourhood with good access to transport.,51000.0
Arada,4,3,141.1,0,1,1,"4-bedroom unit in Arada for long-term rental. 141 square metres, well laid out. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.",66000.0
Addis Ketema,1,1,54.8,1,0,0,Rent a 1-bedroom home located in Addis Ketema. About 55 square metres of living space. Features a private water tank. Well maintained and secure.,16500.0
Nifas Silk,4,2,129.6,1,1,1,4-bedroom apartment in Nifas Silk available for rent. Floor space of 130 square metres. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Ideal for families or professionals.,53500.0
Arada,2,1,68.9,0,0,0,"2-bedroom unit in Arada for long-term rental. 69 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",26500.0
Bole,4,2,123.0,0,0,0,"Rent a 4-bedroom home located in Bole. 123 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",53000.0
Yeka,4,2,126.6,1,0,0,"Apartment with 4 bedrooms in Yeka, now available. About 127 square metres of living space. Features a private water tank. Ideal for families or professionals.",46500.0
Yeka,4,3,129.9,0,0,1,4-bedroom apartment in Yeka available for rent. About 130 square metres of living space. Furnished and ready to move in. Ideal for families or professionals.,54000.0
Kolfe,5,3,157.8,1,1,0,"5-bedroom apartment in Kolfe available for rent. 158 square metres, well laid out. Features a private water tank. Comes with a backup generator. Well maintained and secure.",53000.0
Lidetta,3,2,125.3,1,0,0,Rent a 3-bedroom home located in Lidetta. Floor space of 125 square metres. Features a private water tank. Close to schools and markets.,37000.0
Akaky Kaliti,1,1,72.8,0,1,0,1-bedroom unit in Akaky Kaliti for long-term rental. About 73 square metres of living space. Comes with a backup generator. Well maintained and secure.,20000.0
Addis Ketema,4,2,141.5,1,0,1,"Rent a 4-bedroom home located in Addis Ketema. 142 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Close to schools and markets.",48500.0
Addis Ketema,4,3,147.4,1,1,0,"Apartment with 4 bedrooms in Addis Ketema, now available. 147 square metres, well laid out. Features a private water tank. Comes with a backup generator. Quiet neighbourhood with good access to transport.",47000.0
Addis Ketema,1,1,70.8,1,1,0,"1-bedroom unit in Addis Ketema for long-term rental. 71 square metres, well laid out. Features a private water tank. Comes with a backup generator. Ideal for families or professionals.",22500.0
Bole,1,1,63.6,0,0,0,1-bedroom apartment in Bole available for rent. Floor space of 64 square metres. Well maintained apartment. Ideal for families or professionals.,25000.0
Bole,2,1,98.1,0,0,0,"Apartment with 2 bedrooms in Bole, now available. Floor space of 98 square metres. Well maintained apartment. Quiet neighbourhood with good access to transport.",39000.0
Yeka,5,3,164.9,0,0,0,"Rent a 5-bedroom home located in Yeka. 165 square metres, well laid out. Well maintained apartment. Close to schools and markets.",58500.0
Arada,3,1,115.8,0,0,0,"Rent a 3-bedroom home located in Arada. 116 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",42500.0
Bole,5,3,134.5,0,0,1,"5-bedroom unit in Bole for long-term rental. 134 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",69500.0
Lidetta,5,3,141.9,0,0,0,"Apartment with 5 bedrooms in Lidetta, now available. Floor space of 142 square metres. Well maintained apartment. Close to schools and markets.",44500.0
Nifas Silk,3,1,104.7,1,0,0,"3-bedroom apartment in Nifas Silk available for rent. 105 square metres, well laid out. Features a private water tank. Close to schools and markets.",34500.0
Arada,4,2,139.4,0,1,1,Rent a 4-bedroom home located in Arada. Floor space of 139 square metres. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.,64000.0
Bole,2,1,85.7,1,0,1,"2-bedroom apartment in Bole available for rent. 86 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",42000.0
Yeka,1,1,77.6,0,0,0,1-bedroom apartment in Yeka available for rent. Floor space of 78 square metres. Well maintained apartment. Ideal for families or professionals.,24000.0
Bole,2,1,101.8,0,0,0,"2-bedroom apartment in Bole available for rent. 102 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",40000.0
Lidetta,3,1,122.4,0,0,0,3-bedroom apartment in Lidetta available for rent. Floor space of 122 square metres. Well maintained apartment. Close to schools and markets.,33500.0
Nifas Silk,1,1,78.5,1,0,0,1-bedroom apartment in Nifas Silk available for rent. Floor space of 78 square metres. Features a private water tank. Close to schools and markets.,24000.0
Gulele,2,1,73.6,0,0,0,2-bedroom unit in Gulele for long-term rental. About 74 square metres of living space. Well maintained apartment. Well maintained and secure.,22000.0
Yeka,1,1,69.8,1,1,1,"1-bedroom unit in Yeka for long-term rental. 70 square metres, well laid out. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.",30000.0
Kirkos,4,2,122.7,0,0,0,4-bedroom unit in Kirkos for long-term rental. Floor space of 123 square metres. Well maintained apartment. Quiet neighbourhood with good access to transport.,50500.0
Kirkos,5,3,132.2,0,0,0,"Apartment with 5 bedrooms in Kirkos, now available. Floor space of 132 square metres. Well maintained apartment. Close to schools and markets.",57000.0
Kolfe,5,3,148.6,1,0,1,5-bedroom unit in Kolfe for long-term rental. Floor space of 149 square metres. Features a private water tank. Furnished and ready to move in. Close to schools and markets.,55500.0
Kolfe,2,2,101.9,0,1,1,"2-bedroom apartment in Kolfe available for rent. 102 square metres, well laid out. Comes with a backup generator. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",36000.0
Yeka,3,2,113.5,1,0,0,"Apartment with 3 bedrooms in Yeka, now available. 114 square metres, well laid out. Features a private water tank. Well maintained and secure.",41000.0
Akaky Kaliti,5,3,176.2,1,0,0,5-bedroom unit in Akaky Kaliti for long-term rental. Floor space of 176 square metres. Features a private water tank. Quiet neighbourhood with good access to transport.,50000.0
Bole,3,2,110.1,0,0,1,"Apartment with 3 bedrooms in Bole, now available. About 110 square metres of living space. Furnished and ready to move in. Well maintained and secure.",53500.0
Akaky Kaliti,2,1,115.4,1,0,0,Rent a 2-bedroom home located in Akaky Kaliti. About 115 square metres of living space. Features a private water tank. Well maintained and secure.,29500.0
Bole,2,1,88.1,0,0,0,2-bedroom apartment in Bole available for rent. About 88 square metres of living space. Well maintained apartment. Well maintained and secure.,35500.0
Yeka,4,2,130.3,1,1,0,4-bedroom unit in Yeka for long-term rental. About 130 square metres of living space. Features a private water tank. Comes with a backup generator. Ideal for families or professionals.,50000.0
Lidetta,3,1,92.6,0,1,1,Rent a 3-bedroom home located in Lidetta. Floor space of 93 square metres. Comes with a backup generator. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,34500.0
Bole,5,3,165.3,0,0,1,"Apartment with 5 bedrooms in Bole, now available. 165 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",81500.0
Kirkos,5,3,146.0,0,0,0,5-bedroom unit in Kirkos for long-term rental. Floor space of 146 square metres. Well maintained apartment. Well maintained and secure.,61500.0
Kirkos,1,1,56.2,0,0,0,"Apartment with 1 bedrooms in Kirkos, now available. 56 square metres, well laid out. Well maintained apartment. Well maintained and secure.",21500.0
Yeka,4,2,145.4,0,1,0,4-bedroom unit in Yeka for long-term rental. About 145 square metres of living space. Comes with a backup generator. Quiet neighbourhood with good access to transport.,52500.0
Gulele,2,1,99.9,1,1,0,"Apartment with 2 bedrooms in Gulele, now available. About 100 square metres of living space. Features a private water tank. Comes with a backup generator. Quiet neighbourhood with good access to transport.",32500.0
Lidetta,3,2,121.6,1,0,0,3-bedroom apartment in Lidetta available for rent. About 122 square metres of living space. Features a private water tank. Quiet neighbourhood with good access to transport.,36500.0
Lidetta,2,2,81.7,0,0,0,"Apartment with 2 bedrooms in Lidetta, now available. Floor space of 82 square metres. Well maintained apartment. Quiet neighbourhood with good access to transport.",24000.0
Kirkos,2,1,85.4,0,0,0,"Rent a 2-bedroom home located in Kirkos. 85 square metres, well laid out. Well maintained apartment. Close to schools and markets.",33000.0
Arada,2,2,85.3,0,0,1,2-bedroom apartment in Arada available for rent. Floor space of 85 square metres. Furnished and ready to move in. Ideal for families or professionals.,37000.0
Yeka,1,1,73.4,1,0,0,Rent a 1-bedroom home located in Yeka. Floor space of 73 square metres. Features a private water tank. Close to schools and markets.,24500.0
Yeka,4,2,148.6,1,0,0,"Apartment with 4 bedrooms in Yeka, now available. 149 square metres, well laid out. Features a private water tank. Close to schools and markets.",52500.0
Bole,1,1,68.4,0,1,0,"1-bedroom unit in Bole for long-term rental. 68 square metres, well laid out. Comes with a backup generator. Close to schools and markets.",29500.0
Akaky Kaliti,2,1,109.7,0,0,0,"Rent a 2-bedroom home located in Akaky Kaliti. 110 square metres, well laid out. Well maintained apartment. Close to schools and markets.",26500.0
Lidetta,1,1,74.8,1,0,0,"Apartment with 1 bedrooms in Lidetta, now available. 75 square metres, well laid out. Features a private water tank. Close to schools and markets.",21000.0
Kolfe,1,1,61.2,1,0,0,1-bedroom apartment in Kolfe available for rent. About 61 square metres of living space. Features a private water tank. Close to schools and markets.,18500.0
Arada,2,1,95.9,0,0,0,"Apartment with 2 bedrooms in Arada, now available. 96 square metres, well laid out. Well maintained apartment. Well maintained and secure.",34500.0
Arada,5,2,172.5,1,0,1,"Apartment with 5 bedrooms in Arada, now available. About 172 square metres of living space. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.",77000.0
Arada,5,2,176.0,0,1,0,5-bedroom apartment in Arada available for rent. Floor space of 176 square metres. Comes with a backup generator. Quiet neighbourhood with good access to transport.,69000.0
Arada,2,1,100.2,0,0,0,2-bedroom unit in Arada for long-term rental. About 100 square metres of living space. Well maintained apartment. Well maintained and secure.,35500.0
Kirkos,3,2,108.3,0,0,1,3-bedroom apartment in Kirkos available for rent. About 108 square metres of living space. Furnished and ready to move in. Ideal for families or professionals.,50000.0
Bole,5,2,149.4,1,0,1,"5-bedroom unit in Bole for long-term rental. 149 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Well maintained and secure.",76000.0
Bole,2,1,92.9,0,0,1,"Apartment with 2 bedrooms in Bole, now available. 93 square metres, well laid out. Furnished and ready to move in. Well maintained and secure.",43000.0
Addis Ketema,5,3,172.1,0,1,0,"Apartment with 5 bedrooms in Addis Ketema, now available. About 172 square metres of living space. Comes with a backup generator. Ideal for families or professionals.",52500.0
Arada,1,1,69.2,0,0,0,1-bedroom unit in Arada for long-term rental. Floor space of 69 square metres. Well maintained apartment. Quiet neighbourhood with good access to transport.,24000.0
Addis Ketema,2,1,91.5,1,0,0,"Apartment with 2 bedrooms in Addis Ketema, now available. About 92 square metres of living space. Features a private water tank. Well maintained and secure.",26000.0
Bole,2,1,86.6,1,0,0,"Apartment with 2 bedrooms in Bole, now available. 87 square metres, well laid out. Features a private water tank. Close to schools and markets.",37000.0
Arada,1,1,60.1,0,0,1,"Apartment with 1 bedrooms in Arada, now available. 60 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",24500.0
Yeka,5,2,150.1,0,0,0,5-bedroom unit in Yeka for long-term rental. Floor space of 150 square metres. Well maintained apartment. Well maintained and secure.,53000.0
Yeka,5,3,153.6,1,0,0,5-bedroom apartment in Yeka available for rent. Floor space of 154 square metres. Features a private water tank. Quiet neighbourhood with good access to transport.,57000.0
Bole,2,1,106.6,0,0,0,"Apartment with 2 bedrooms in Bole, now available. About 107 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.",42000.0
Bole,5,3,149.1,1,0,1,5-bedroom apartment in Bole available for rent. About 149 square metres of living space. Features a private water tank. Furnished and ready to move in. Close to schools and markets.,77000.0
Akaky Kaliti,4,2,130.6,1,0,0,4-bedroom unit in Akaky Kaliti for long-term rental. About 131 square metres of living space. Features a private water tank. Close to schools and markets.,38000.0
Kirkos,5,3,141.6,1,0,0,"Apartment with 5 bedrooms in Kirkos, now available. About 142 square metres of living space. Features a private water tank. Close to schools and markets.",61500.0
Nifas Silk,5,3,160.6,0,0,0,5-bedroom apartment in Nifas Silk available for rent. About 161 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.,53000.0
Arada,3,1,124.4,0,0,0,3-bedroom apartment in Arada available for rent. Floor space of 124 square metres. Well maintained apartment. Quiet neighbourhood with good access to transport.,45000.0
Kirkos,1,1,83.5,1,0,1,1-bedroom apartment in Kirkos available for rent. Floor space of 84 square metres. Features a private water tank. Furnished and ready to move in. Well maintained and secure.,36500.0
Arada,5,3,154.4,0,1,1,5-bedroom unit in Arada for long-term rental. About 154 square metres of living space. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.,73000.0
Yeka,4,2,136.9,1,0,0,"4-bedroom apartment in Yeka available for rent. 137 square metres, well laid out. Features a private water tank. Ideal for families or professionals.",49500.0
Addis Ketema,5,2,150.2,1,0,0,"5-bedroom unit in Addis Ketema for long-term rental. 150 square metres, well laid out. Features a private water tank. Ideal for families or professionals.",46000.0
Kolfe,5,2,158.3,1,1,0,Rent a 5-bedroom home located in Kolfe. About 158 square metres of living space. Features a private water tank. Comes with a backup generator. Ideal for families or professionals.,52000.0
Gulele,1,1,67.8,1,1,0,Rent a 1-bedroom home located in Gulele. Floor space of 68 square metres. Features a private water tank. Comes with a backup generator. Ideal for families or professionals.,23000.0
Arada,3,2,108.7,0,0,0,3-bedroom unit in Arada for long-term rental. Floor space of 109 square metres. Well maintained apartment. Ideal for families or professionals.,41500.0
Bole,1,1,65.7,1,0,0,"Rent a 1-bedroom home located in Bole. 66 square metres, well laid out. Features a private water tank. Quiet neighbourhood with good access to transport.",27500.0
Akaky Kaliti,1,1,69.4,0,0,0,Rent a 1-bedroom home located in Akaky Kaliti. About 69 square metres of living space. Well maintained apartment. Well maintained and secure.,16500.0
Kirkos,5,3,148.5,1,1,0,5-bedroom apartment in Kirkos available for rent. Floor space of 148 square metres. Features a private water tank. Comes with a backup generator. Well maintained and secure.,66500.0
Bole,5,3,149.1,0,0,1,5-bedroom unit in Bole for long-term rental. Floor space of 149 square metres. Furnished and ready to move in. Close to schools and markets.,75000.0
Kirkos,5,3,172.5,0,1,0,"Apartment with 5 bedrooms in Kirkos, now available. 172 square metres, well laid out. Comes with a backup generator. Quiet neighbourhood with good access to transport.",72500.0
Kolfe,5,3,184.5,0,1,0,5-bedroom unit in Kolfe for long-term rental. About 184 square metres of living space. Comes with a backup generator. Quiet neighbourhood with good access to transport.,57000.0
Nifas Silk,4,3,115.5,1,0,1,4-bedroom apartment in Nifas Silk available for rent. Floor space of 116 square metres. Features a private water tank. Furnished and ready to move in. Well maintained and secure.,48000.0
Kolfe,3,2,92.9,1,0,0,"3-bedroom apartment in Kolfe available for rent. 93 square metres, well laid out. Features a private water tank. Ideal for families or professionals.",31000.0
Kolfe,5,3,140.5,0,0,0,"Apartment with 5 bedrooms in Kolfe, now available. Floor space of 140 square metres. Well maintained apartment. Well maintained and secure.",45000.0
Yeka,3,2,106.8,0,0,0,"Apartment with 3 bedrooms in Yeka, now available. 107 square metres, well laid out. Well maintained apartment. Well maintained and secure.",37500.0
Akaky Kaliti,4,2,140.7,1,0,0,"4-bedroom unit in Akaky Kaliti for long-term rental. 141 square metres, well laid out. Features a private water tank. Ideal for families or professionals.",39500.0
Kirkos,2,1,93.1,1,0,0,"Apartment with 2 bedrooms in Kirkos, now available. About 93 square metres of living space. Features a private water tank. Close to schools and markets.",37000.0
Nifas Silk,4,2,132.1,1,0,0,"4-bedroom unit in Nifas Silk for long-term rental. 132 square metres, well laid out. Features a private water tank. Well maintained and secure.",44500.0
Bole,5,3,158.3,0,0,1,"5-bedroom unit in Bole for long-term rental. 158 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",78500.0
Addis Ketema,4,3,121.7,0,0,0,Rent a 4-bedroom home located in Addis Ketema. Floor space of 122 square metres. Well maintained apartment. Ideal for families or professionals.,37500.0
Yeka,3,2,105.1,0,0,1,"Apartment with 3 bedrooms in Yeka, now available. 105 square metres, well laid out. Furnished and ready to move in. Close to schools and markets.",42500.0
Bole,1,1,63.8,0,0,0,1-bedroom unit in Bole for long-term rental. About 64 square metres of living space. Well maintained apartment. Ideal for families or professionals.,25000.0
Arada,1,1,45.0,1,0,0,Rent a 1-bedroom home located in Arada. Floor space of 45 square metres. Features a private water tank. Ideal for families or professionals.,18500.0
Bole,4,2,116.1,0,0,0,4-bedroom unit in Bole for long-term rental. About 116 square metres of living space. Well maintained apartment. Ideal for families or professionals.,50500.0
Bole,4,3,116.5,0,0,1,4-bedroom unit in Bole for long-term rental. Floor space of 116 square metres. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,60000.0
Nifas Silk,4,3,139.2,1,1,0,Rent a 4-bedroom home located in Nifas Silk. Floor space of 139 square metres. Features a private water tank. Comes with a backup generator. Well maintained and secure.,50000.0
Kirkos,5,3,154.9,0,0,1,"Apartment with 5 bedrooms in Kirkos, now available. Floor space of 155 square metres. Furnished and ready to move in. Ideal for families or professionals.",74000.0
Akaky Kaliti,3,2,115.3,1,0,0,"Apartment with 3 bedrooms in Akaky Kaliti, now available. About 115 square metres of living space. Features a private water tank. Quiet neighbourhood with good access to transport.",32500.0
Yeka,5,3,129.9,1,0,0,"Apartment with 5 bedrooms in Yeka, now available. 130 square metres, well laid out. Features a private water tank. Well maintained and secure.",51000.0
Gulele,4,2,112.2,1,0,1,"4-bedroom apartment in Gulele available for rent. 112 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.",44000.0
Arada,2,1,94.0,0,0,0,"Apartment with 2 bedrooms in Arada, now available. 94 square metres, well laid out. Well maintained apartment. Close to schools and markets.",34000.0
Nifas Silk,5,3,118.7,1,1,0,5-bedroom apartment in Nifas Silk available for rent. About 119 square metres of living space. Features a private water tank. Comes with a backup generator. Well maintained and secure.,47500.0
Nifas Silk,1,1,78.7,1,1,0,"1-bedroom unit in Nifas Silk for long-term rental. 79 square metres, well laid out. Features a private water tank. Comes with a backup generator. Well maintained and secure.",26500.0
Arada,3,2,86.1,0,1,1,"3-bedroom apartment in Arada available for rent. 86 square metres, well laid out. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.",43000.0
Addis Ketema,5,3,162.1,1,1,0,Rent a 5-bedroom home located in Addis Ketema. Floor space of 162 square metres. Features a private water tank. Comes with a backup generator. Quiet neighbourhood with good access to transport.,52000.0
Kirkos,4,2,119.3,0,0,0,4-bedroom unit in Kirkos for long-term rental. About 119 square metres of living space. Well maintained apartment. Close to schools and markets.,49500.0
Bole,5,3,164.6,0,0,0,"5-bedroom unit in Bole for long-term rental. 165 square metres, well laid out. Well maintained apartment. Close to schools and markets.",70500.0
Gulele,1,1,102.5,1,1,0,1-bedroom unit in Gulele for long-term rental. About 102 square metres of living space. Features a private water tank. Comes with a backup generator. Well maintained and secure.,31000.0
Lidetta,3,2,80.7,0,0,0,"Apartment with 3 bedrooms in Lidetta, now available. 81 square metres, well laid out. Well maintained apartment. Well maintained and secure.",26000.0
Bole,4,3,138.3,0,0,1,"Apartment with 4 bedrooms in Bole, now available. Floor space of 138 square metres. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",68500.0
Kirkos,4,2,108.3,0,0,0,Rent a 4-bedroom home located in Kirkos. Floor space of 108 square metres. Well maintained apartment. Close to schools and markets.,46000.0
Akaky Kaliti,5,3,157.1,1,0,0,5-bedroom unit in Akaky Kaliti for long-term rental. Floor space of 157 square metres. Features a private water tank. Quiet neighbourhood with good access to transport.,46000.0
Gulele,3,2,105.5,0,1,1,"Apartment with 3 bedrooms in Gulele, now available. Floor space of 106 square metres. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.",40500.0
Addis Ketema,4,2,131.6,0,0,0,"Rent a 4-bedroom home located in Addis Ketema. 132 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",38000.0
Arada,3,1,97.1,0,0,0,3-bedroom apartment in Arada available for rent. About 97 square metres of living space. Well maintained apartment. Close to schools and markets.,37000.0
